user_id,persona,date,merchant,item,kategori,qty,nominal,total_harga,payment_method,combined_text,spending_level,month,day_name,is_weekend,hour,time_category,item_length,word_count,is_digital_payment
U003,mahasiswa,2024-01-01 19:36:00,shopee official store,buku catatan a5 premium quality,pendidikan,1,56465,56465,QRIS,shopee official store buku catatan a5 premium quality,medium,1,Monday,0,19,night,31,8,1
U005,anak_sultan,2024-01-02 01:53:00,miniso,miniso blender tangan 4 in 1 mixer putih colokan ved 700ml blender multifungsi pengocok telur elektrik juicy grinde penc,belanja,2,312996,625992,Debit Card,miniso miniso blender tangan 4 in 1 mixer putih colokan ved 700ml blender multifungsi pengocok telur elektrik juicy grinde penc,high,1,Tuesday,0,1,night,120,20,0
U004,ibu_rumah_tangga,2024-01-02 09:48:00,pln,token listrik 100k,tagihan & utilitas,1,102158,102158,Debit Card,pln token listrik 100k,medium,1,Tuesday,0,9,morning,18,4,0
U005,anak_sultan,2024-01-02 10:02:00,miniso,miniso official botol minum high borosilicate glass water bottle botol kaca 300ml,belanja,3,51382,154146,DANA,miniso miniso official botol minum high borosilicate glass water bottle botol kaca 300ml,medium,1,Tuesday,0,10,morning,81,13,1
U005,anak_sultan,2024-01-02 17:20:00,cgv,tiket bioskop sweetbox,hiburan,1,76694,76694,GoPay,cgv tiket bioskop sweetbox,medium,1,Tuesday,0,17,evening,22,4,1
U001,anak_kos,2024-01-02 22:26:00,pertamina,pertalite,transport,1,107298,107298,OVO,pertamina pertalite,medium,1,Tuesday,0,22,night,9,2,1
U001,anak_kos,2024-01-02 23:57:00,depot air minum,isi galon air,kebutuhan rumah,2,7484,14968,OVO,depot air minum isi galon air,low,1,Tuesday,0,23,night,13,6,1
U001,anak_kos,2024-01-03 00:26:00,pertamina,pertalite,transport,1,96612,96612,DANA,pertamina pertalite,medium,1,Wednesday,0,0,night,9,2,1
U003,mahasiswa,2024-01-03 00:33:00,warmindo,indomie goreng telur,makanan & minuman,1,12298,12298,QRIS,warmindo indomie goreng telur,low,1,Wednesday,0,0,night,20,4,1
U004,ibu_rumah_tangga,2024-01-03 00:47:00,k24,vitamin b1 ipi,kesehatan,1,7397,7397,OVO,k24 vitamin b1 ipi,low,1,Wednesday,0,0,night,14,4,1
U001,anak_kos,2024-01-03 01:30:00,warmindo,mie nyemek,makanan & minuman,1,14674,14674,QRIS,warmindo mie nyemek,low,1,Wednesday,0,1,night,10,3,1
U004,ibu_rumah_tangga,2024-01-03 01:43:00,k24,vitamin b comp nova,kesehatan,1,169542,169542,Debit Card,k24 vitamin b comp nova,medium,1,Wednesday,0,1,night,19,5,0
U005,anak_sultan,2024-01-03 03:21:00,netflix,langganan netflix mobile,hiburan,1,50324,50324,Cash,netflix langganan netflix mobile,medium,1,Wednesday,0,3,night,24,4,0
U004,ibu_rumah_tangga,2024-01-03 04:52:00,shopee official store,token listrik premium quality,tagihan & utilitas,1,54607,54607,GoPay,shopee official store token listrik premium quality,medium,1,Wednesday,0,4,night,29,7,1
U002,karyawan,2024-01-03 07:54:00,kai access,tiket kereta ekonomi,transport,1,117732,117732,Cash,kai access tiket kereta ekonomi,medium,1,Wednesday,0,7,morning,20,5,0
U004,ibu_rumah_tangga,2024-01-03 12:33:00,myrepublic,tagihan wifi rumah,tagihan & utilitas,1,345743,345743,Debit Card,myrepublic tagihan wifi rumah,high,1,Wednesday,0,12,afternoon,18,4,0
U004,ibu_rumah_tangga,2024-01-03 13:06:00,k24,vitamin c triman 50mg tablet,kesehatan,1,2437,2437,GoPay,k24 vitamin c triman 50mg tablet,low,1,Wednesday,0,13,afternoon,28,6,1
U004,ibu_rumah_tangga,2024-01-03 14:40:00,aqua,isi ulang galon,kebutuhan rumah,3,19262,57786,Cash,aqua isi ulang galon,medium,1,Wednesday,0,14,afternoon,15,4,0
U005,anak_sultan,2024-01-03 15:13:00,cgv,tiket bioskop sweetbox,hiburan,1,89222,89222,OVO,cgv tiket bioskop sweetbox,medium,1,Wednesday,0,15,evening,22,4,1
U002,karyawan,2024-01-03 20:46:00,playstation store,voucher psn indonesia,hiburan,1,154393,154393,GoPay,playstation store voucher psn indonesia,medium,1,Wednesday,0,20,night,21,5,1
U002,karyawan,2024-01-04 03:13:00,miniso,miniso official messenger bag harajuku tahan air tas selempang besar wanita tas pasangan tas selempang wanita remaja tas,belanja,3,61053,183159,Cash,miniso miniso official messenger bag harajuku tahan air tas selempang besar wanita tas pasangan tas selempang wanita remaja tas,medium,1,Thursday,0,3,night,120,19,0
U003,mahasiswa,2024-01-04 05:05:00,shell,shell super,transport,1,164323,164323,QRIS,shell shell super,medium,1,Thursday,0,5,morning,11,3,1
U001,anak_kos,2024-01-04 08:59:00,transjogja,tiket bus transjogja,transport,1,3260,3260,OVO,transjogja tiket bus transjogja,low,1,Thursday,0,8,morning,20,4,1
U004,ibu_rumah_tangga,2024-01-04 10:34:00,myrepublic,tagihan wifi rumah,tagihan & utilitas,1,322977,322977,OVO,myrepublic tagihan wifi rumah,high,1,Thursday,0,10,morning,18,4,1
U002,karyawan,2024-01-04 15:22:00,kai access,tiket kereta ekonomi,transport,1,119070,119070,Cash,kai access tiket kereta ekonomi,medium,1,Thursday,0,15,evening,20,5,0
U004,ibu_rumah_tangga,2024-01-04 16:05:00,youvit store,youvit multivitamin gummy adult,kesehatan,1,128075,128075,Cash,youvit store youvit multivitamin gummy adult,medium,1,Thursday,0,16,evening,31,6,0
U002,karyawan,2024-01-04 18:10:00,disney hotstar,langganan disney bulanan,hiburan,1,63700,63700,Debit Card,disney hotstar langganan disney bulanan,medium,1,Thursday,0,18,evening,24,5,0
U003,mahasiswa,2024-01-04 19:12:00,shopee official store,isi 10pcs indomie goreng kuah semua rasa bisa mix varian,makanan & minuman,1,408145,408145,QRIS,shopee official store isi 10pcs indomie goreng kuah semua rasa bisa mix varian,high,1,Thursday,0,19,night,56,13,1
U005,anak_sultan,2024-01-04 23:35:00,superindo,susu ultra milk 1l,makanan & minuman,1,18680,18680,Debit Card,superindo susu ultra milk 1l,low,1,Thursday,0,23,night,18,5,0
U004,ibu_rumah_tangga,2024-01-05 00:06:00,laundry express,cuci setrika,kebutuhan rumah,5,25822,129110,OVO,laundry express cuci setrika,medium,1,Friday,0,0,night,12,4,1
U002,karyawan,2024-01-05 00:26:00,gramedia,novel best seller,hiburan,1,106156,106156,OVO,gramedia novel best seller,medium,1,Friday,0,0,night,17,4,1
U005,anak_sultan,2024-01-05 02:27:00,spotify,spotify premium individual,hiburan,1,63564,63564,GoPay,spotify spotify premium individual,medium,1,Friday,0,2,night,26,4,1
U004,ibu_rumah_tangga,2024-01-05 03:15:00,miniso,miniso official little pudding series set brush kosmetik make up profesional kuas eyeshadow kuas concealer kuas pero,kebutuhan rumah,4,31042,124168,Debit Card,miniso miniso official little pudding series set brush kosmetik make up profesional kuas eyeshadow kuas concealer kuas pero,medium,1,Friday,0,3,night,116,18,0
U004,ibu_rumah_tangga,2024-01-05 06:21:00,shopee official store,voucher internet premium quality,tagihan & utilitas,1,53583,53583,Cash,shopee official store voucher internet premium quality,medium,1,Friday,0,6,morning,32,7,0
U005,anak_sultan,2024-01-05 08:45:00,indomaret,teh botol sosro,makanan & minuman,2,4748,9496,Debit Card,indomaret teh botol sosro,low,1,Friday,0,8,morning,15,4,0
U002,karyawan,2024-01-05 14:09:00,miniso,miniso storage box kotak organizer makeup kosmetik penyimpanan mini mulut kuda nil box penyimpanan,belanja,2,16451,32902,QRIS,miniso miniso storage box kotak organizer makeup kosmetik penyimpanan mini mulut kuda nil box penyimpanan,low,1,Friday,0,14,afternoon,98,15,1
U002,karyawan,2024-01-05 17:57:00,cgv,tiket bioskop sweetbox,hiburan,1,86420,86420,OVO,cgv tiket bioskop sweetbox,medium,1,Friday,0,17,evening,22,4,1
U003,mahasiswa,2024-01-05 18:06:00,fotokopi jaya,fotokopi dokumen,pendidikan,1,2936,2936,Cash,fotokopi jaya fotokopi dokumen,low,1,Friday,0,18,evening,16,4,0
U004,ibu_rumah_tangga,2024-01-05 20:35:00,k24,nutrimax c plus junior 1 botol isi 30 tablet kunyah,kesehatan,1,202939,202939,Cash,k24 nutrimax c plus junior 1 botol isi 30 tablet kunyah,high,1,Friday,0,20,night,51,11,0
U001,anak_kos,2024-01-06 02:42:00,kai access,tiket kereta ekonomi,transport,1,123715,123715,QRIS,kai access tiket kereta ekonomi,medium,1,Saturday,1,2,night,20,5,1
U005,anak_sultan,2024-01-06 07:52:00,indomaret,silverqueen mini,makanan & minuman,2,14095,28190,OVO,indomaret silverqueen mini,low,1,Saturday,1,7,morning,16,3,1
U002,karyawan,2024-01-06 10:38:00,spbu vivo,revvo 90,transport,1,109609,109609,DANA,spbu vivo revvo 90,medium,1,Saturday,1,10,morning,8,4,1
U004,ibu_rumah_tangga,2024-01-06 13:11:00,telkomsel,paket internet 25gb,tagihan & utilitas,1,80400,80400,DANA,telkomsel paket internet 25gb,medium,1,Saturday,1,13,afternoon,19,4,1
U003,mahasiswa,2024-01-06 13:13:00,tol indonesia,top up e toll,transport,1,99724,99724,DANA,tol indonesia top up e toll,medium,1,Saturday,1,13,afternoon,13,6,1
U002,karyawan,2024-01-06 13:28:00,superindo,beras ramos 5kg,makanan & minuman,2,77529,155058,QRIS,superindo beras ramos 5kg,medium,1,Saturday,1,13,afternoon,15,4,1
U004,ibu_rumah_tangga,2024-01-06 13:31:00,xl axiata,paket data xtra combo,tagihan & utilitas,1,64054,64054,Cash,xl axiata paket data xtra combo,medium,1,Saturday,1,13,afternoon,21,6,0
U003,mahasiswa,2024-01-06 18:00:00,print station,print warna a4,pendidikan,1,5396,5396,GoPay,print station print warna a4,low,1,Saturday,1,18,evening,14,5,1
U005,anak_sultan,2024-01-06 19:43:00,gramedia,novel best seller,hiburan,1,94767,94767,GoPay,gramedia novel best seller,medium,1,Saturday,1,19,night,17,4,1
U004,ibu_rumah_tangga,2024-01-06 23:36:00,aqua,isi ulang galon,kebutuhan rumah,3,20848,62544,GoPay,aqua isi ulang galon,medium,1,Saturday,1,23,night,15,4,1
U004,ibu_rumah_tangga,2024-01-06 23:43:00,pdam,tagihan air bulanan,tagihan & utilitas,1,80277,80277,QRIS,pdam tagihan air bulanan,medium,1,Saturday,1,23,night,19,4,1
U002,karyawan,2024-01-07 02:12:00,netflix,langganan netflix mobile,hiburan,1,53377,53377,GoPay,netflix langganan netflix mobile,medium,1,Sunday,1,2,night,24,4,1
U003,mahasiswa,2024-01-07 02:42:00,transjogja,tiket bus transjogja,transport,1,3279,3279,Cash,transjogja tiket bus transjogja,low,1,Sunday,1,2,night,20,4,0
U002,karyawan,2024-01-07 03:53:00,miniso,miniso offical parfum wanita charming jasmine lady perfume,belanja,3,40298,120894,DANA,miniso miniso offical parfum wanita charming jasmine lady perfume,medium,1,Sunday,1,3,night,58,9,1
U003,mahasiswa,2024-01-07 04:25:00,eparking,bayar parkir digital,transport,1,4649,4649,Debit Card,eparking bayar parkir digital,low,1,Sunday,1,4,night,20,4,0
U001,anak_kos,2024-01-07 05:26:00,kai access,tiket kereta ekonomi,transport,1,127231,127231,DANA,kai access tiket kereta ekonomi,medium,1,Sunday,1,5,morning,20,5,1
U004,ibu_rumah_tangga,2024-01-07 06:10:00,shopee official store,token listrik premium quality,tagihan & utilitas,1,55670,55670,Cash,shopee official store token listrik premium quality,medium,1,Sunday,1,6,morning,29,7,0
U002,karyawan,2024-01-07 12:23:00,grab,grabbike,transport,1,23421,23421,QRIS,grab grabbike,low,1,Sunday,1,12,afternoon,8,2,1
U005,anak_sultan,2024-01-07 16:04:00,miniso,miniso earphone earbuds in ear headphone noise cancelling awet headset universal,belanja,3,60579,181737,QRIS,miniso miniso earphone earbuds in ear headphone noise cancelling awet headset universal,medium,1,Sunday,1,16,evening,80,12,1
U002,karyawan,2024-01-07 16:33:00,miniso,miniso boneka we bear bears boneka plush beruang lucu berbaring di perut anda asli lembut dan ramah kulit,belanja,3,65760,197280,OVO,miniso miniso boneka we bear bears boneka plush beruang lucu berbaring di perut anda asli lembut dan ramah kulit,medium,1,Sunday,1,16,evening,105,19,1
U004,ibu_rumah_tangga,2024-01-07 16:41:00,myrepublic,tagihan wifi rumah,tagihan & utilitas,1,330765,330765,QRIS,myrepublic tagihan wifi rumah,high,1,Sunday,1,16,evening,18,4,1
U004,ibu_rumah_tangga,2024-01-07 18:13:00,le minerale,galon air mineral,kebutuhan rumah,4,19279,77116,GoPay,le minerale galon air mineral,medium,1,Sunday,1,18,evening,17,5,1
U003,mahasiswa,2024-01-07 18:19:00,spbu vivo,revvo 90,transport,1,131840,131840,QRIS,spbu vivo revvo 90,medium,1,Sunday,1,18,evening,8,4,1
U004,ibu_rumah_tangga,2024-01-07 21:55:00,k24,vitamin c kf 250mg tablet,kesehatan,1,2947,2947,QRIS,k24 vitamin c kf 250mg tablet,low,1,Sunday,1,21,night,25,6,1
U004,ibu_rumah_tangga,2024-01-08 01:47:00,k24,vidoran gummy vitamin c,kesehatan,1,16734,16734,GoPay,k24 vidoran gummy vitamin c,low,1,Monday,0,1,night,23,5,1
U001,anak_kos,2024-01-08 02:25:00,shopee official store,susu uht ultra milk cokelat 125 ml 1 dus isi 40,makanan & minuman,1,149600,149600,DANA,shopee official store susu uht ultra milk cokelat 125 ml 1 dus isi 40,medium,1,Monday,0,2,night,47,14,1
U003,mahasiswa,2024-01-08 05:50:00,shopee official store,10 pcs best wok mi hot hits pack,makanan & minuman,1,37422,37422,Debit Card,shopee official store 10 pcs best wok mi hot hits pack,low,1,Monday,0,5,morning,32,11,0
U003,mahasiswa,2024-01-08 10:45:00,fotokopi kampus,print hitam putih,pendidikan,1,491,491,GoPay,fotokopi kampus print hitam putih,low,1,Monday,0,10,morning,17,5,1
U004,ibu_rumah_tangga,2024-01-08 18:16:00,k24,vitamin b comp marin tablet,kesehatan,1,1657,1657,OVO,k24 vitamin b comp marin tablet,low,1,Monday,0,18,evening,27,6,1
U004,ibu_rumah_tangga,2024-01-08 18:20:00,xl axiata,paket data xtra combo,tagihan & utilitas,1,67003,67003,QRIS,xl axiata paket data xtra combo,medium,1,Monday,0,18,evening,21,6,1
U001,anak_kos,2024-01-09 00:24:00,eparking,bayar parkir digital,transport,1,4815,4815,DANA,eparking bayar parkir digital,low,1,Tuesday,0,0,night,20,4,1
U001,anak_kos,2024-01-09 02:16:00,miniso,miniso boneka lucu shiba inu bantal tidur mainan mewah cute plush toy 33cm,kebutuhan rumah,1,99199,99199,GoPay,miniso miniso boneka lucu shiba inu bantal tidur mainan mewah cute plush toy 33cm,medium,1,Tuesday,0,2,night,74,14,1
U002,karyawan,2024-01-09 02:19:00,miniso,miniso official botol minum high borosilicate glass water bottle botol kaca 300ml,belanja,3,45015,135045,QRIS,miniso miniso official botol minum high borosilicate glass water bottle botol kaca 300ml,medium,1,Tuesday,0,2,night,81,13,1
U005,anak_sultan,2024-01-09 02:56:00,timezone,top up kartu game,hiburan,1,96049,96049,OVO,timezone top up kartu game,medium,1,Tuesday,0,2,night,17,5,1
U001,anak_kos,2024-01-09 03:40:00,pertamina,pertalite,transport,1,95714,95714,GoPay,pertamina pertalite,medium,1,Tuesday,0,3,night,9,2,1
U003,mahasiswa,2024-01-09 05:07:00,superindo,beras ramos 5kg,makanan & minuman,1,72397,72397,OVO,superindo beras ramos 5kg,medium,1,Tuesday,0,5,morning,15,4,1
U002,karyawan,2024-01-09 05:25:00,superindo,daging ayam fillet,makanan & minuman,2,47250,94500,GoPay,superindo daging ayam fillet,medium,1,Tuesday,0,5,morning,18,4,1
U004,ibu_rumah_tangga,2024-01-09 06:07:00,k24,becefort kaplet per strip isi 4 kaplet,kesehatan,1,6653,6653,Debit Card,k24 becefort kaplet per strip isi 4 kaplet,low,1,Tuesday,0,6,morning,38,8,0
U004,ibu_rumah_tangga,2024-01-09 07:04:00,depot air minum,isi galon air,kebutuhan rumah,4,8728,34912,OVO,depot air minum isi galon air,low,1,Tuesday,0,7,morning,13,6,1
U005,anak_sultan,2024-01-09 08:00:00,netflix,langganan netflix mobile,hiburan,1,49840,49840,Cash,netflix langganan netflix mobile,low,1,Tuesday,0,8,morning,24,4,0
U002,karyawan,2024-01-09 12:10:00,miniso,miniso boneka we bear bears boneka plush beruang lucu berbaring di perut anda asli lembut dan ramah kulit,belanja,1,65213,65213,Debit Card,miniso miniso boneka we bear bears boneka plush beruang lucu berbaring di perut anda asli lembut dan ramah kulit,medium,1,Tuesday,0,12,afternoon,105,19,0
U002,karyawan,2024-01-09 17:01:00,miniso,miniso offical parfum wanita charming jasmine lady perfume,belanja,2,36789,73578,DANA,miniso miniso offical parfum wanita charming jasmine lady perfume,medium,1,Tuesday,0,17,evening,58,9,1
U004,ibu_rumah_tangga,2024-01-09 19:29:00,miniso,miniso keranjang penyimpanan rak serbaguna multifungsi ukuran kecil,kebutuhan rumah,2,13879,27758,GoPay,miniso miniso keranjang penyimpanan rak serbaguna multifungsi ukuran kecil,low,1,Tuesday,0,19,night,67,9,1
U004,ibu_rumah_tangga,2024-01-09 20:39:00,k24,benovit c tablet,kesehatan,1,25192,25192,QRIS,k24 benovit c tablet,low,1,Tuesday,0,20,night,16,4,1
U004,ibu_rumah_tangga,2024-01-09 21:17:00,pdam,tagihan air bulanan,tagihan & utilitas,1,83791,83791,OVO,pdam tagihan air bulanan,medium,1,Tuesday,0,21,night,19,4,1
U004,ibu_rumah_tangga,2024-01-09 21:48:00,k24,scotts emulsion vita orange 200ml,kesehatan,1,55032,55032,GoPay,k24 scotts emulsion vita orange 200ml,medium,1,Tuesday,0,21,night,33,6,1
U005,anak_sultan,2024-01-10 00:54:00,indomaret,roti sari roti coklat,makanan & minuman,2,8538,17076,OVO,indomaret roti sari roti coklat,low,1,Wednesday,0,0,night,21,5,1
U001,anak_kos,2024-01-10 01:26:00,superindo,beras ramos 5kg,makanan & minuman,2,81452,162904,OVO,superindo beras ramos 5kg,medium,1,Wednesday,0,1,night,15,4,1
U004,ibu_rumah_tangga,2024-01-10 06:14:00,miniso,miniso masker wajah tablet masker we bare bears 3 0 panda dikompresi mask tablets portable for traveling,kesehatan,1,58273,58273,OVO,miniso miniso masker wajah tablet masker we bare bears 3 0 panda dikompresi mask tablets portable for traveling,medium,1,Wednesday,0,6,morning,104,18,1
U003,mahasiswa,2024-01-10 10:21:00,shopee official store,buku catatan a5 premium quality,pendidikan,1,57466,57466,Cash,shopee official store buku catatan a5 premium quality,medium,1,Wednesday,0,10,morning,31,8,0
U002,karyawan,2024-01-10 12:21:00,disney hotstar,langganan disney bulanan,hiburan,1,68059,68059,DANA,disney hotstar langganan disney bulanan,medium,1,Wednesday,0,12,afternoon,24,5,1
U005,anak_sultan,2024-01-10 13:14:00,superindo,bayam segar,makanan & minuman,2,5357,10714,Debit Card,superindo bayam segar,low,1,Wednesday,0,13,afternoon,11,3,0
U005,anak_sultan,2024-01-10 14:46:00,superindo,yogurt cimory,makanan & minuman,1,14286,14286,QRIS,superindo yogurt cimory,low,1,Wednesday,0,14,afternoon,13,3,1
U002,karyawan,2024-01-10 18:22:00,youtube premium,langganan youtube premium,hiburan,1,63570,63570,GoPay,youtube premium langganan youtube premium,medium,1,Wednesday,0,18,evening,25,5,1
U002,karyawan,2024-01-10 19:51:00,traveloka,tiket pesawat domestik,transport,1,815993,815993,GoPay,traveloka tiket pesawat domestik,high,1,Wednesday,0,19,night,22,4,1
U005,anak_sultan,2024-01-11 01:27:00,gacoan,thai tea,makanan & minuman,1,8334,8334,DANA,gacoan thai tea,low,1,Thursday,0,1,night,8,3,1
U005,anak_sultan,2024-01-11 06:03:00,disney hotstar,langganan disney bulanan,hiburan,1,62631,62631,QRIS,disney hotstar langganan disney bulanan,medium,1,Thursday,0,6,morning,24,5,1
U004,ibu_rumah_tangga,2024-01-11 15:12:00,k24,biosanbe kids sirup120ml,kesehatan,1,54866,54866,DANA,k24 biosanbe kids sirup120ml,medium,1,Thursday,0,15,evening,24,4,1
U002,karyawan,2024-01-11 17:39:00,miniso,miniso official tas selempang wanita tas selempang bahu,belanja,1,128408,128408,QRIS,miniso miniso official tas selempang wanita tas selempang bahu,medium,1,Thursday,0,17,evening,55,9,1
U003,mahasiswa,2024-01-11 21:23:00,bluebird,taksi bluebird,transport,1,74153,74153,DANA,bluebird taksi bluebird,medium,1,Thursday,0,21,night,14,3,1
U004,ibu_rumah_tangga,2024-01-11 22:58:00,first media,tagihan tv kabel,tagihan & utilitas,1,394487,394487,Cash,first media tagihan tv kabel,high,1,Thursday,0,22,night,16,5,0
U002,karyawan,2024-01-12 02:26:00,miniso,miniso diffuser humidifier mist purifier pelembab kipas kw jsq11 cool pelembab udara,belanja,3,134048,402144,DANA,miniso miniso diffuser humidifier mist purifier pelembab kipas kw jsq11 cool pelembab udara,high,1,Friday,0,2,night,84,13,1
U004,ibu_rumah_tangga,2024-01-12 05:38:00,k24,scotts emulsion vita orange 200ml,kesehatan,1,58882,58882,Debit Card,k24 scotts emulsion vita orange 200ml,medium,1,Friday,0,5,morning,33,6,0
U005,anak_sultan,2024-01-12 06:09:00,miniso,miniso masker wajah serum sheet mask peel off nature hydrate face mask organik wanita pelembab kencang lembab sehat,belanja,3,9555,28665,Debit Card,miniso miniso masker wajah serum sheet mask peel off nature hydrate face mask organik wanita pelembab kencang lembab sehat,low,1,Friday,0,6,morning,115,19,0
U002,karyawan,2024-01-12 13:31:00,steam,top up steam wallet,hiburan,1,120079,120079,GoPay,steam top up steam wallet,medium,1,Friday,0,13,afternoon,19,5,1
U005,anak_sultan,2024-01-12 15:46:00,netflix,langganan netflix mobile,hiburan,1,53617,53617,Debit Card,netflix langganan netflix mobile,medium,1,Friday,0,15,evening,24,4,0
U004,ibu_rumah_tangga,2024-01-12 16:59:00,first media,tagihan tv kabel,tagihan & utilitas,1,438087,438087,DANA,first media tagihan tv kabel,high,1,Friday,0,16,evening,16,5,1
U001,anak_kos,2024-01-12 18:53:00,laundry express,cuci setrika,kebutuhan rumah,3,30561,91683,OVO,laundry express cuci setrika,medium,1,Friday,0,18,evening,12,4,1
U005,anak_sultan,2024-01-13 03:49:00,miniso,miniso tas selempang wanita handbag crossbody boston top handle bag multifungsi terbaru fashion,belanja,3,81049,243147,GoPay,miniso miniso tas selempang wanita handbag crossbody boston top handle bag multifungsi terbaru fashion,high,1,Saturday,1,3,night,95,14,1
U003,mahasiswa,2024-01-13 03:50:00,fotokopi jaya,fotokopi dokumen,pendidikan,1,2735,2735,OVO,fotokopi jaya fotokopi dokumen,low,1,Saturday,1,3,night,16,4,1
U004,ibu_rumah_tangga,2024-01-13 05:10:00,miniso,miniso boneka lucu shiba inu bantal tidur mainan mewah cute plush toy 33cm,kebutuhan rumah,4,100582,402328,GoPay,miniso miniso boneka lucu shiba inu bantal tidur mainan mewah cute plush toy 33cm,high,1,Saturday,1,5,morning,74,14,1
U002,karyawan,2024-01-13 05:29:00,indomaret,roti sari roti coklat,makanan & minuman,2,6364,12728,Debit Card,indomaret roti sari roti coklat,low,1,Saturday,1,5,morning,21,5,0
U004,ibu_rumah_tangga,2024-01-13 06:56:00,miniso,miniso boneka lucu shiba inu bantal tidur mainan mewah cute plush toy 33cm,kebutuhan rumah,3,105351,316053,DANA,miniso miniso boneka lucu shiba inu bantal tidur mainan mewah cute plush toy 33cm,high,1,Saturday,1,6,morning,74,14,1
U005,anak_sultan,2024-01-13 07:31:00,superindo,minyak goreng bimoli 2l,makanan & minuman,2,36477,72954,Debit Card,superindo minyak goreng bimoli 2l,medium,1,Saturday,1,7,morning,23,5,0
U001,anak_kos,2024-01-13 09:57:00,indomaret,silverqueen mini,makanan & minuman,2,15554,31108,GoPay,indomaret silverqueen mini,low,1,Saturday,1,9,morning,16,3,1
U004,ibu_rumah_tangga,2024-01-13 10:37:00,miniso,miniso boneka lucu shiba inu bantal tidur mainan mewah cute plush toy 33cm,kebutuhan rumah,5,94821,474105,Debit Card,miniso miniso boneka lucu shiba inu bantal tidur mainan mewah cute plush toy 33cm,high,1,Saturday,1,10,morning,74,14,0
U005,anak_sultan,2024-01-13 11:29:00,miniso,miniso kaos kaki wanita mini pendek 6 pcs,belanja,3,53717,161151,QRIS,miniso miniso kaos kaki wanita mini pendek 6 pcs,medium,1,Saturday,1,11,afternoon,41,9,1
U002,karyawan,2024-01-13 11:42:00,grab,grabbike,transport,1,27149,27149,Debit Card,grab grabbike,low,1,Saturday,1,11,afternoon,8,2,0
U002,karyawan,2024-01-13 20:35:00,gramedia,novel best seller,hiburan,1,102444,102444,QRIS,gramedia novel best seller,medium,1,Saturday,1,20,night,17,4,1
U003,mahasiswa,2024-01-13 22:21:00,superindo,bayam segar,makanan & minuman,2,7765,15530,OVO,superindo bayam segar,low,1,Saturday,1,22,night,11,3,1
U004,ibu_rumah_tangga,2024-01-14 01:36:00,k24,arkavit c tablet,kesehatan,1,13442,13442,QRIS,k24 arkavit c tablet,low,1,Sunday,1,1,night,16,4,1
